,symbol,volume_24h_binance,price_binance,volume_24h_bitget,price_bitget
0,BTC/USDT,1090673773.772984,93938.64,433153552.211153,93928.95
1,USDC/USDT,765333765.9476,1.0021,18835151.1372,1.0022
2,ETH/USDT,687796739.718565,3331.56,290388247.1522,3332.09
3,XRP/USDT,506469703.277,2.2284,112988482.7518,2.2275
4,PEPE/USDT,425772268.53282696,1.928e-05,25193227.0,1.927e-05
5,SOL/USDT,356159728.95133,189.76,84804651.5249,189.75
6,DOGE/USDT,222338078.92468,0.31808,55571304.148,0.31813
7,XLM/USDT,168286649.9742,0.3939,34839104.93,0.3937
8,HBAR/USDT,129580691.765,0.28502,5437685.46,0.2855
9,SUI/USDT,112338542.01325,4.166,13555441.76,4.1656
10,USUAL/USDT,100431337.85552,0.9186,12569641.62,0.919
11,PENGU/USDT,98756303.222217,0.034423,3984985.05,0.034406
12,PNUT/USDT,98157729.9411,0.6682,27615394.37,0.6678
13,FTM/USDT,91888518.5756,0.7754,9231479.0,0.7738
14,ADA/USDT,91483807.74593,0.8819,17096008.59,0.8807
15,LINK/USDT,81880257.538,20.52,17529531.3012,20.52
16,TRX/USDT,72391036.39442,0.2547,8365066.301,0.2546
17,WIF/USDT,56762961.89873,1.786,10671265.73,1.787
18,ACT/USDT,55447763.30833,0.2917,8498077.39,0.2914
19,AAVE/USDT,55270392.47764,313.16,12307471.651,312.93
20,WLD/USDT,49414573.6951,2.135,5946543.2,2.135
21,LTC/USDT,46483796.45718,104.44,11556609.8789,104.47
22,CRV/USDT,43218791.86336,0.9318,12161210.8515,0.9315
23,BONK/USDT,40373446.37364152,2.927e-05,7996776.0,2.926e-05
24,SHIB/USDT,40212852.26099776,2.12e-05,8312534.4258,2.12e-05
25,UNI/USDT,38395814.3682,13.337,7510517.452,13.34
26,NEAR/USDT,37825812.4179,5.085,7554779.7,5.083
27,AVAX/USDT,35041735.2333,36.26,16599427.556,36.26
28,FLOKI/USDT,33816546.5925582,0.00017419,3268492.94,0.0001742
29,MOVE/USDT,33596741.24135,0.8456,7401842.16,0.8459
30,RUNE/USDT,25012752.9379,4.507,5683623.537,4.507
31,ALGO/USDT,24399953.325,0.3537,7127242.72,0.3537
32,FTT/USDT,21776803.513189,3.9644,2881206.08,3.9601
33,STX/USDT,18751994.1599,1.555,4120866.62,1.555
34,SEI/USDT,18327496.62286,0.4052,7095515.07,0.405
35,ETC/USDT,16080855.2525,25.09,3449549.5317,25.09
36,RENDER/USDT,16005630.55672,6.905,3660919.2,6.903
37,AR/USDT,12649158.6289,17.06,5025440.91,17.05
38,TURBO/USDT,12619938.033166,0.008997,9365600.0,0.008989
39,APE/USDT,12364971.66909,1.211,5304394.3513,1.21
40,TIA/USDT,12355165.44878,4.707,3354771.0,4.708
41,TON/USDT,10701071.39135,5.457,17076868.06,5.459
